# SignalP-6.0	Organism: Eukarya	Timestamp: 20250630065032
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
ATUBSCAF1_000030-T1 ATUBSCAF1_000030	OTHER	1.000000	0.000001	
ATUBSCAF1_000031-T1 ATUBSCAF1_000031	OTHER	0.999726	0.000290	
ATUBSCAF1_000033-T1 ATUBSCAF1_000033	OTHER	1.000000	0.000000	
ATUBSCAF1_000034-T1 ATUBSCAF1_000034	OTHER	1.000000	0.000000	
ATUBSCAF1_000035-T1 ATUBSCAF1_000035	OTHER	1.000000	0.000000	
ATUBSCAF1_000037-T1 ATUBSCAF1_000037	OTHER	1.000000	0.000000	
ATUBSCAF1_000038-T1 ATUBSCAF1_000038	OTHER	1.000000	0.000000	
ATUBSCAF1_000039-T1 ATUBSCAF1_000039	OTHER	1.000000	0.000000	
ATUBSCAF1_000040-T1 ATUBSCAF1_000040	OTHER	1.000000	0.000001	
ATUBSCAF1_000041-T1 ATUBSCAF1_000041	OTHER	1.000000	0.000005	
ATUBSCAF1_000041-T2 ATUBSCAF1_000041	OTHER	1.000000	0.000002	
ATUBSCAF1_000042-T1 ATUBSCAF1_000042	OTHER	1.000000	0.000000	
ATUBSCAF1_000043-T1 ATUBSCAF1_000043	OTHER	0.999766	0.000279	
ATUBSCAF1_000044-T1 ATUBSCAF1_000044	OTHER	1.000000	0.000000	
ATUBSCAF1_000045-T1 ATUBSCAF1_000045	OTHER	1.000000	0.000000	
ATUBSCAF1_000046-T1 ATUBSCAF1_000046	SP	0.000474	0.999470	CS pos: 15-16. Pr: 0.9690
ATUBSCAF1_000047-T1 ATUBSCAF1_000047	OTHER	1.000000	0.000000	
ATUBSCAF1_000048-T1 ATUBSCAF1_000048	SP	0.000913	0.999067	CS pos: 15-16. Pr: 0.9682
ATUBSCAF1_000049-T1 ATUBSCAF1_000049	OTHER	1.000000	0.000000	
ATUBSCAF1_000050-T1 ATUBSCAF1_000050	OTHER	1.000000	0.000001	
ATUBSCAF1_000051-T1 ATUBSCAF1_000051	OTHER	1.000000	0.000023	
ATUBSCAF1_000052-T1 ATUBSCAF1_000052	OTHER	1.000000	0.000000	
ATUBSCAF1_000052-T2 ATUBSCAF1_000052	OTHER	1.000000	0.000000	
ATUBSCAF1_000053-T1 ATUBSCAF1_000053	OTHER	1.000000	0.000003	
ATUBSCAF1_000054-T1 ATUBSCAF1_000054	OTHER	1.000000	0.000000	
ATUBSCAF1_000055-T1 ATUBSCAF1_000055	OTHER	1.000000	0.000000	
ATUBSCAF1_000056-T1 ATUBSCAF1_000056	OTHER	1.000000	0.000000	
ATUBSCAF1_000057-T1 ATUBSCAF1_000057	OTHER	1.000000	0.000002	
ATUBSCAF1_000058-T1 ATUBSCAF1_000058	OTHER	1.000000	0.000000	
ATUBSCAF1_000059-T1 ATUBSCAF1_000059	OTHER	1.000000	0.000002	
ATUBSCAF1_000060-T1 ATUBSCAF1_000060	OTHER	1.000000	0.000000	
ATUBSCAF1_000061-T1 ATUBSCAF1_000061	OTHER	1.000000	0.000000	
ATUBSCAF1_000062-T1 ATUBSCAF1_000062	OTHER	1.000000	0.000000	
ATUBSCAF1_000063-T1 ATUBSCAF1_000063	OTHER	1.000000	0.000004	
ATUBSCAF1_000063-T2 ATUBSCAF1_000063	OTHER	0.999988	0.000072	
ATUBSCAF1_000064-T1 ATUBSCAF1_000064	OTHER	1.000000	0.000000	
ATUBSCAF1_000064-T2 ATUBSCAF1_000064	OTHER	0.982744	0.017281	
ATUBSCAF1_000066-T1 ATUBSCAF1_000066	OTHER	1.000000	0.000003	
ATUBSCAF1_000067-T1 ATUBSCAF1_000067	OTHER	1.000000	0.000002	
ATUBSCAF1_000068-T1 ATUBSCAF1_000068	OTHER	1.000000	0.000017	
ATUBSCAF1_000069-T1 ATUBSCAF1_000069	OTHER	1.000000	0.000000	
ATUBSCAF1_000070-T1 ATUBSCAF1_000070	OTHER	1.000000	0.000001	
ATUBSCAF1_000071-T1 ATUBSCAF1_000071	OTHER	1.000000	0.000000	
ATUBSCAF1_000072-T1 ATUBSCAF1_000072	OTHER	1.000000	0.000000	
ATUBSCAF1_000073-T1 ATUBSCAF1_000073	OTHER	1.000000	0.000000	
ATUBSCAF1_000074-T1 ATUBSCAF1_000074	OTHER	1.000000	0.000001	
ATUBSCAF1_000074-T2 ATUBSCAF1_000074	OTHER	1.000000	0.000001	
ATUBSCAF1_000075-T1 ATUBSCAF1_000075	OTHER	1.000000	0.000000	
ATUBSCAF1_000076-T1 ATUBSCAF1_000076	OTHER	1.000000	0.000000	
ATUBSCAF1_000077-T1 ATUBSCAF1_000077	OTHER	1.000000	0.000000	
ATUBSCAF1_000078-T1 ATUBSCAF1_000078	OTHER	0.999923	0.000108	
ATUBSCAF1_000078-T2 ATUBSCAF1_000078	OTHER	0.998341	0.001685	
ATUBSCAF1_000079-T1 ATUBSCAF1_000079	OTHER	0.999969	0.000037	
ATUBSCAF1_000079-T2 ATUBSCAF1_000079	OTHER	0.999969	0.000037	
ATUBSCAF1_000079-T3 ATUBSCAF1_000079	OTHER	0.999986	0.000033	
ATUBSCAF1_000079-T4 ATUBSCAF1_000079	OTHER	0.999969	0.000037	
ATUBSCAF1_000080-T1 ATUBSCAF1_000080	OTHER	1.000000	0.000000	
ATUBSCAF1_000081-T1 ATUBSCAF1_000081	OTHER	1.000000	0.000000	
ATUBSCAF1_000082-T1 ATUBSCAF1_000082	OTHER	1.000000	0.000000	
ATUBSCAF1_000083-T1 ATUBSCAF1_000083	OTHER	1.000000	0.000000	
ATUBSCAF1_000084-T1 ATUBSCAF1_000084	OTHER	1.000000	0.000000	
ATUBSCAF1_000085-T1 ATUBSCAF1_000085	OTHER	1.000000	0.000000	
ATUBSCAF1_000085-T2 ATUBSCAF1_000085	OTHER	1.000000	0.000000	
ATUBSCAF1_000086-T1 ATUBSCAF1_000086	OTHER	1.000000	0.000001	
ATUBSCAF1_000087-T1 ATUBSCAF1_000087	OTHER	1.000000	0.000000	
ATUBSCAF1_000088-T1 ATUBSCAF1_000088	OTHER	1.000000	0.000000	
ATUBSCAF1_000089-T1 ATUBSCAF1_000089	OTHER	1.000000	0.000000	
ATUBSCAF1_000090-T1 ATUBSCAF1_000090	OTHER	1.000000	0.000000	
ATUBSCAF1_000091-T1 ATUBSCAF1_000091	OTHER	1.000000	0.000000	
ATUBSCAF1_000092-T1 ATUBSCAF1_000092	OTHER	1.000000	0.000000	
ATUBSCAF1_000093-T1 ATUBSCAF1_000093	OTHER	1.000000	0.000000	
ATUBSCAF1_000094-T1 ATUBSCAF1_000094	OTHER	0.782542	0.217473	
ATUBSCAF1_000095-T1 ATUBSCAF1_000095	OTHER	1.000000	0.000002	
ATUBSCAF1_000096-T1 ATUBSCAF1_000096	OTHER	1.000000	0.000031	
ATUBSCAF1_000097-T1 ATUBSCAF1_000097	OTHER	1.000000	0.000000	
ATUBSCAF1_000098-T1 ATUBSCAF1_000098	SP	0.000215	0.999756	CS pos: 21-22. Pr: 0.7875
ATUBSCAF1_000099-T1 ATUBSCAF1_000099	OTHER	0.918959	0.081046	
ATUBSCAF1_000100-T1 ATUBSCAF1_000100	OTHER	1.000000	0.000009	
ATUBSCAF1_000101-T1 ATUBSCAF1_000101	OTHER	1.000000	0.000001	
ATUBSCAF1_000102-T1 ATUBSCAF1_000102	OTHER	1.000000	0.000000	
ATUBSCAF1_000103-T1 ATUBSCAF1_000103	OTHER	1.000000	0.000000	
ATUBSCAF1_000104-T1 ATUBSCAF1_000104	OTHER	1.000000	0.000000	
ATUBSCAF1_000105-T1 ATUBSCAF1_000105	OTHER	0.999894	0.000093	
ATUBSCAF1_000106-T1 ATUBSCAF1_000106	OTHER	1.000000	0.000000	
ATUBSCAF1_000107-T1 ATUBSCAF1_000107	OTHER	1.000000	0.000000	
ATUBSCAF1_000107-T2 ATUBSCAF1_000107	OTHER	1.000000	0.000000	
ATUBSCAF1_000108-T1 ATUBSCAF1_000108	OTHER	1.000000	0.000000	
ATUBSCAF1_000108-T2 ATUBSCAF1_000108	OTHER	1.000000	0.000000	
ATUBSCAF1_000109-T1 ATUBSCAF1_000109	OTHER	1.000000	0.000000	
ATUBSCAF1_000110-T1 ATUBSCAF1_000110	OTHER	1.000000	0.000000	
ATUBSCAF1_000111-T1 ATUBSCAF1_000111	OTHER	1.000000	0.000001	
ATUBSCAF1_000112-T1 ATUBSCAF1_000112	OTHER	0.999912	0.000127	
ATUBSCAF1_000113-T1 ATUBSCAF1_000113	OTHER	1.000000	0.000000	
ATUBSCAF1_000113-T2 ATUBSCAF1_000113	OTHER	1.000000	0.000000	
ATUBSCAF1_000114-T1 ATUBSCAF1_000114	OTHER	1.000000	0.000001	
ATUBSCAF1_000115-T1 ATUBSCAF1_000115	OTHER	0.999981	0.000070	
ATUBSCAF1_000116-T1 ATUBSCAF1_000116	OTHER	1.000000	0.000000	
ATUBSCAF1_000117-T1 ATUBSCAF1_000117	OTHER	1.000000	0.000000	
ATUBSCAF1_000118-T1 ATUBSCAF1_000118	OTHER	1.000000	0.000047	
ATUBSCAF1_000118-T2 ATUBSCAF1_000118	OTHER	1.000000	0.000001	
ATUBSCAF1_000119-T1 ATUBSCAF1_000119	OTHER	0.999980	0.000036	
ATUBSCAF1_000120-T1 ATUBSCAF1_000120	OTHER	1.000000	0.000000	
ATUBSCAF1_000120-T2 ATUBSCAF1_000120	OTHER	1.000000	0.000000	
ATUBSCAF1_000121-T1 ATUBSCAF1_000121	OTHER	1.000000	0.000000	
ATUBSCAF1_000122-T1 ATUBSCAF1_000122	OTHER	1.000000	0.000000	
ATUBSCAF1_000123-T1 ATUBSCAF1_000123	OTHER	1.000000	0.000000	
ATUBSCAF1_000123-T2 ATUBSCAF1_000123	OTHER	1.000000	0.000000	
ATUBSCAF1_000124-T1 ATUBSCAF1_000124	OTHER	1.000000	0.000000	
ATUBSCAF1_000125-T1 ATUBSCAF1_000125	OTHER	1.000000	0.000000	
ATUBSCAF1_000126-T1 ATUBSCAF1_000126	OTHER	1.000000	0.000000	
ATUBSCAF1_000127-T1 ATUBSCAF1_000127	OTHER	1.000000	0.000019	
ATUBSCAF1_000128-T1 ATUBSCAF1_000128	OTHER	1.000000	0.000001	
ATUBSCAF1_000129-T1 ATUBSCAF1_000129	OTHER	1.000000	0.000001	
ATUBSCAF1_000130-T1 ATUBSCAF1_000130	OTHER	1.000000	0.000005	
ATUBSCAF1_000130-T2 ATUBSCAF1_000130	OTHER	0.995873	0.004115	
ATUBSCAF1_000131-T1 ATUBSCAF1_000131	OTHER	1.000000	0.000004	
ATUBSCAF1_000132-T1 ATUBSCAF1_000132	OTHER	1.000000	0.000000	
ATUBSCAF1_000133-T1 ATUBSCAF1_000133	OTHER	1.000000	0.000000	
ATUBSCAF1_000134-T1 ATUBSCAF1_000134	OTHER	1.000000	0.000000	
ATUBSCAF1_000135-T1 ATUBSCAF1_000135	OTHER	1.000000	0.000000	
ATUBSCAF1_000136-T1 ATUBSCAF1_000136	OTHER	1.000000	0.000000	
ATUBSCAF1_000137-T1 ATUBSCAF1_000137	OTHER	1.000000	0.000000	
ATUBSCAF1_000138-T1 ATUBSCAF1_000138	OTHER	1.000000	0.000000	
ATUBSCAF1_000139-T1 ATUBSCAF1_000139	OTHER	0.995252	0.004741	
ATUBSCAF1_000140-T1 ATUBSCAF1_000140	OTHER	1.000000	0.000000	
ATUBSCAF1_000141-T1 ATUBSCAF1_000141	OTHER	1.000000	0.000000	
ATUBSCAF1_000143-T1 ATUBSCAF1_000143	OTHER	1.000000	0.000000	
ATUBSCAF1_000145-T1 ATUBSCAF1_000145	OTHER	1.000000	0.000000	
ATUBSCAF1_000146-T1 ATUBSCAF1_000146	OTHER	1.000000	0.000000	
ATUBSCAF1_000147-T1 ATUBSCAF1_000147	OTHER	0.999971	0.000070	
ATUBSCAF1_000148-T1 ATUBSCAF1_000148	OTHER	1.000000	0.000000	
ATUBSCAF1_000148-T2 ATUBSCAF1_000148	OTHER	1.000000	0.000000	
ATUBSCAF1_000149-T1 ATUBSCAF1_000149	OTHER	1.000000	0.000002	
ATUBSCAF1_000150-T1 ATUBSCAF1_000150	OTHER	1.000000	0.000028	
ATUBSCAF1_000151-T1 ATUBSCAF1_000151	OTHER	1.000000	0.000001	
ATUBSCAF1_000152-T1 ATUBSCAF1_000152	OTHER	0.999742	0.000275	
ATUBSCAF1_000153-T1 ATUBSCAF1_000153	OTHER	1.000000	0.000000	
ATUBSCAF1_000153-T2 ATUBSCAF1_000153	OTHER	1.000000	0.000000	
ATUBSCAF1_000153-T3 ATUBSCAF1_000153	OTHER	1.000000	0.000000	
ATUBSCAF1_000154-T1 ATUBSCAF1_000154	OTHER	1.000000	0.000000	
ATUBSCAF1_000155-T1 ATUBSCAF1_000155	OTHER	1.000000	0.000000	
ATUBSCAF1_000156-T1 ATUBSCAF1_000156	OTHER	1.000000	0.000000	
ATUBSCAF1_000157-T1 ATUBSCAF1_000157	OTHER	1.000000	0.000000	
ATUBSCAF1_000158-T1 ATUBSCAF1_000158	OTHER	1.000000	0.000000	
ATUBSCAF1_000159-T1 ATUBSCAF1_000159	OTHER	0.999591	0.000408	
ATUBSCAF1_000160-T1 ATUBSCAF1_000160	OTHER	1.000000	0.000000	
ATUBSCAF1_000161-T1 ATUBSCAF1_000161	OTHER	1.000000	0.000000	
ATUBSCAF1_000162-T1 ATUBSCAF1_000162	OTHER	1.000000	0.000000	
ATUBSCAF1_000163-T1 ATUBSCAF1_000163	OTHER	1.000000	0.000000	
ATUBSCAF1_000163-T2 ATUBSCAF1_000163	OTHER	1.000000	0.000000	
ATUBSCAF1_000164-T1 ATUBSCAF1_000164	OTHER	1.000000	0.000000	
ATUBSCAF1_000165-T1 ATUBSCAF1_000165	OTHER	1.000000	0.000000	
ATUBSCAF1_000166-T1 ATUBSCAF1_000166	OTHER	1.000000	0.000000	
ATUBSCAF1_000166-T2 ATUBSCAF1_000166	OTHER	1.000000	0.000000	
ATUBSCAF1_000166-T3 ATUBSCAF1_000166	OTHER	1.000000	0.000001	
ATUBSCAF1_000168-T1 ATUBSCAF1_000168	OTHER	1.000000	0.000000	
ATUBSCAF1_000169-T1 ATUBSCAF1_000169	OTHER	1.000000	0.000001	
ATUBSCAF1_000169-T2 ATUBSCAF1_000169	OTHER	1.000000	0.000000	
ATUBSCAF1_000171-T1 ATUBSCAF1_000171	OTHER	0.999933	0.000093	
ATUBSCAF1_000172-T1 ATUBSCAF1_000172	OTHER	1.000000	0.000025	
ATUBSCAF1_000173-T1 ATUBSCAF1_000173	OTHER	1.000000	0.000001	
ATUBSCAF1_000174-T1 ATUBSCAF1_000174	OTHER	1.000000	0.000000	
ATUBSCAF1_000175-T1 ATUBSCAF1_000175	OTHER	1.000000	0.000002	
ATUBSCAF1_000175-T2 ATUBSCAF1_000175	OTHER	1.000000	0.000002	
ATUBSCAF1_000176-T1 ATUBSCAF1_000176	OTHER	0.999914	0.000075	
ATUBSCAF1_000177-T1 ATUBSCAF1_000177	OTHER	1.000000	0.000001	
ATUBSCAF1_000177-T2 ATUBSCAF1_000177	OTHER	1.000000	0.000001	
ATUBSCAF1_000178-T1 ATUBSCAF1_000178	OTHER	1.000000	0.000000	
ATUBSCAF1_000179-T1 ATUBSCAF1_000179	OTHER	1.000000	0.000000	
ATUBSCAF1_000180-T1 ATUBSCAF1_000180	OTHER	1.000000	0.000000	
ATUBSCAF1_000181-T1 ATUBSCAF1_000181	OTHER	1.000000	0.000001	
ATUBSCAF1_000182-T1 ATUBSCAF1_000182	OTHER	1.000000	0.000004	
ATUBSCAF1_000183-T1 ATUBSCAF1_000183	OTHER	1.000000	0.000006	
ATUBSCAF1_000185-T1 ATUBSCAF1_000185	OTHER	1.000000	0.000000	
ATUBSCAF1_000186-T1 ATUBSCAF1_000186	OTHER	1.000000	0.000000	
ATUBSCAF1_000187-T1 ATUBSCAF1_000187	SP	0.000197	0.999795	CS pos: 24-25. Pr: 0.9798
ATUBSCAF1_000188-T1 ATUBSCAF1_000188	OTHER	1.000000	0.000001	
ATUBSCAF1_000189-T1 ATUBSCAF1_000189	SP	0.457398	0.542596	CS pos: 18-19. Pr: 0.3588
ATUBSCAF1_000190-T1 ATUBSCAF1_000190	SP	0.000252	0.999720	CS pos: 20-21. Pr: 0.9759
ATUBSCAF1_000191-T1 ATUBSCAF1_000191	OTHER	1.000000	0.000000	
ATUBSCAF1_000192-T1 ATUBSCAF1_000192	OTHER	1.000000	0.000000	
ATUBSCAF1_000193-T1 ATUBSCAF1_000193	OTHER	1.000000	0.000000	
ATUBSCAF1_000194-T1 ATUBSCAF1_000194	OTHER	1.000000	0.000000	
ATUBSCAF1_000195-T1 ATUBSCAF1_000195	OTHER	1.000000	0.000000	
ATUBSCAF1_000196-T1 ATUBSCAF1_000196	OTHER	1.000000	0.000000	
ATUBSCAF1_000196-T2 ATUBSCAF1_000196	OTHER	1.000000	0.000000	
ATUBSCAF1_000196-T3 ATUBSCAF1_000196	OTHER	1.000000	0.000000	
ATUBSCAF1_000197-T1 ATUBSCAF1_000197	OTHER	1.000000	0.000000	
ATUBSCAF1_000198-T1 ATUBSCAF1_000198	OTHER	1.000000	0.000000	
ATUBSCAF1_000199-T1 ATUBSCAF1_000199	OTHER	1.000000	0.000000	
ATUBSCAF1_000200-T1 ATUBSCAF1_000200	OTHER	1.000000	0.000000	
ATUBSCAF1_000201-T1 ATUBSCAF1_000201	OTHER	1.000000	0.000000	
ATUBSCAF1_000202-T1 ATUBSCAF1_000202	OTHER	1.000000	0.000000	
ATUBSCAF1_000202-T2 ATUBSCAF1_000202	OTHER	1.000000	0.000001	
ATUBSCAF1_000203-T1 ATUBSCAF1_000203	OTHER	0.999029	0.000989	
ATUBSCAF1_000203-T2 ATUBSCAF1_000203	OTHER	0.999029	0.000989	
ATUBSCAF1_000204-T1 ATUBSCAF1_000204	OTHER	1.000000	0.000017	
ATUBSCAF1_000205-T1 ATUBSCAF1_000205	OTHER	1.000000	0.000000	
ATUBSCAF1_000206-T1 ATUBSCAF1_000206	OTHER	1.000000	0.000000	
ATUBSCAF1_000207-T1 ATUBSCAF1_000207	OTHER	1.000000	0.000000	
ATUBSCAF1_000208-T1 ATUBSCAF1_000208	OTHER	1.000000	0.000000	
ATUBSCAF1_000208-T2 ATUBSCAF1_000208	OTHER	1.000000	0.000000	
ATUBSCAF1_000209-T1 ATUBSCAF1_000209	OTHER	0.999996	0.000021	
ATUBSCAF1_000210-T1 ATUBSCAF1_000210	OTHER	1.000000	0.000000	
ATUBSCAF1_000211-T1 ATUBSCAF1_000211	OTHER	1.000000	0.000000	
ATUBSCAF1_000213-T1 ATUBSCAF1_000213	OTHER	1.000000	0.000000	
ATUBSCAF1_000214-T1 ATUBSCAF1_000214	OTHER	1.000000	0.000000	
ATUBSCAF1_000215-T1 ATUBSCAF1_000215	OTHER	1.000000	0.000000	
ATUBSCAF1_000216-T1 ATUBSCAF1_000216	OTHER	1.000000	0.000001	
ATUBSCAF1_000217-T1 ATUBSCAF1_000217	OTHER	1.000000	0.000000	
ATUBSCAF1_000219-T1 ATUBSCAF1_000219	OTHER	1.000000	0.000000	
ATUBSCAF1_000219-T2 ATUBSCAF1_000219	OTHER	1.000000	0.000000	
ATUBSCAF1_000220-T1 ATUBSCAF1_000220	OTHER	1.000000	0.000000	
ATUBSCAF1_000220-T2 ATUBSCAF1_000220	OTHER	1.000000	0.000000	
ATUBSCAF1_000221-T1 ATUBSCAF1_000221	OTHER	1.000000	0.000000	
ATUBSCAF1_000222-T1 ATUBSCAF1_000222	OTHER	1.000000	0.000004	
ATUBSCAF1_000223-T1 ATUBSCAF1_000223	OTHER	0.999403	0.000599	
ATUBSCAF1_000224-T1 ATUBSCAF1_000224	OTHER	1.000000	0.000000	
ATUBSCAF1_000225-T1 ATUBSCAF1_000225	OTHER	1.000000	0.000000	
ATUBSCAF1_000225-T2 ATUBSCAF1_000225	OTHER	1.000000	0.000000	
ATUBSCAF1_000225-T3 ATUBSCAF1_000225	OTHER	1.000000	0.000000	
ATUBSCAF1_000227-T1 ATUBSCAF1_000227	OTHER	1.000000	0.000000	
ATUBSCAF1_000228-T1 ATUBSCAF1_000228	OTHER	1.000000	0.000000	
ATUBSCAF1_000229-T1 ATUBSCAF1_000229	SP	0.165006	0.834976	CS pos: 44-45. Pr: 0.7179
ATUBSCAF1_000230-T1 ATUBSCAF1_000230	OTHER	1.000000	0.000000	
ATUBSCAF1_000230-T2 ATUBSCAF1_000230	OTHER	1.000000	0.000000	
ATUBSCAF1_000231-T1 ATUBSCAF1_000231	OTHER	1.000000	0.000000	
ATUBSCAF1_000232-T1 ATUBSCAF1_000232	OTHER	0.772823	0.227167	
ATUBSCAF1_000232-T2 ATUBSCAF1_000232	OTHER	0.990355	0.009664	
ATUBSCAF1_000233-T1 ATUBSCAF1_000233	OTHER	1.000000	0.000000	
ATUBSCAF1_000233-T2 ATUBSCAF1_000233	OTHER	1.000000	0.000000	
ATUBSCAF1_000233-T3 ATUBSCAF1_000233	OTHER	1.000000	0.000001	
ATUBSCAF1_000234-T1 ATUBSCAF1_000234	OTHER	1.000000	0.000000	
ATUBSCAF1_000235-T1 ATUBSCAF1_000235	OTHER	1.000000	0.000000	
ATUBSCAF1_000236-T1 ATUBSCAF1_000236	OTHER	1.000000	0.000000	
ATUBSCAF1_000236-T2 ATUBSCAF1_000236	OTHER	1.000000	0.000002	
ATUBSCAF1_000237-T1 ATUBSCAF1_000237	OTHER	1.000000	0.000002	
ATUBSCAF1_000238-T1 ATUBSCAF1_000238	OTHER	1.000000	0.000000	
ATUBSCAF1_000239-T1 ATUBSCAF1_000239	OTHER	1.000000	0.000000	
ATUBSCAF1_000240-T1 ATUBSCAF1_000240	OTHER	1.000000	0.000000	
ATUBSCAF1_000241-T1 ATUBSCAF1_000241	SP	0.000201	0.999749	CS pos: 18-19. Pr: 0.9759
ATUBSCAF1_000242-T1 ATUBSCAF1_000242	OTHER	1.000000	0.000000	
ATUBSCAF1_000243-T1 ATUBSCAF1_000243	SP	0.000374	0.999607	CS pos: 22-23. Pr: 0.9804
ATUBSCAF1_000244-T1 ATUBSCAF1_000244	OTHER	1.000000	0.000016	
ATUBSCAF1_000245-T1 ATUBSCAF1_000245	OTHER	1.000000	0.000000	
ATUBSCAF1_000246-T1 ATUBSCAF1_000246	OTHER	1.000000	0.000000	
ATUBSCAF1_000247-T1 ATUBSCAF1_000247	OTHER	1.000000	0.000000	
ATUBSCAF1_000248-T1 ATUBSCAF1_000248	OTHER	1.000000	0.000000	
ATUBSCAF1_000248-T2 ATUBSCAF1_000248	OTHER	0.999340	0.000683	
ATUBSCAF1_000249-T1 ATUBSCAF1_000249	OTHER	0.999727	0.000266	
ATUBSCAF1_000250-T1 ATUBSCAF1_000250	OTHER	1.000000	0.000000	
ATUBSCAF1_000250-T2 ATUBSCAF1_000250	OTHER	1.000000	0.000000	
ATUBSCAF1_000250-T3 ATUBSCAF1_000250	OTHER	1.000000	0.000000	
ATUBSCAF1_000250-T4 ATUBSCAF1_000250	OTHER	1.000000	0.000000	
ATUBSCAF1_000251-T1 ATUBSCAF1_000251	OTHER	1.000000	0.000001	
ATUBSCAF1_000252-T1 ATUBSCAF1_000252	OTHER	1.000000	0.000001	
ATUBSCAF1_000253-T1 ATUBSCAF1_000253	OTHER	0.998660	0.001350	
ATUBSCAF1_000254-T1 ATUBSCAF1_000254	OTHER	0.999996	0.000029	
ATUBSCAF1_000254-T2 ATUBSCAF1_000254	OTHER	0.999996	0.000029	
ATUBSCAF1_000254-T3 ATUBSCAF1_000254	OTHER	1.000000	0.000017	
ATUBSCAF1_000255-T1 ATUBSCAF1_000255	OTHER	1.000000	0.000000	
ATUBSCAF1_000256-T1 ATUBSCAF1_000256	OTHER	0.999976	0.000030	
ATUBSCAF1_000257-T1 ATUBSCAF1_000257	OTHER	1.000000	0.000000	
ATUBSCAF1_000257-T2 ATUBSCAF1_000257	OTHER	1.000000	0.000000	
ATUBSCAF1_000259-T1 ATUBSCAF1_000259	OTHER	1.000000	0.000000	
ATUBSCAF1_000260-T1 ATUBSCAF1_000260	OTHER	1.000000	0.000000	
ATUBSCAF1_000261-T1 ATUBSCAF1_000261	OTHER	1.000000	0.000000	
ATUBSCAF1_000262-T1 ATUBSCAF1_000262	OTHER	1.000000	0.000000	
ATUBSCAF1_000263-T1 ATUBSCAF1_000263	OTHER	1.000000	0.000000	
ATUBSCAF1_000264-T1 ATUBSCAF1_000264	OTHER	1.000000	0.000000	
ATUBSCAF1_000264-T2 ATUBSCAF1_000264	OTHER	1.000000	0.000000	
ATUBSCAF1_000265-T1 ATUBSCAF1_000265	OTHER	0.999562	0.000461	
ATUBSCAF1_000265-T2 ATUBSCAF1_000265	OTHER	0.999562	0.000461	
ATUBSCAF1_000266-T1 ATUBSCAF1_000266	OTHER	1.000000	0.000001	
